r	11101010	234
m	10000101	133
w	01010010	82
m	10010000	144
w	00111100	60
r	11011111	223
r	00011011	27
r	11010101	213
r	11101011	235
w	00001001	9
w	00010010	18
w	01011001	89
r	11010100	212
m	00000001	1
w	01011110	94
w	11001011	203
r	01010011	83
m	01001101	77
w	11111001	249
m	00110010	50
r	11100111	231
r	10011100	156
m	01001110	78
w	10001110	142
m	11001110	206
r	01101000	104
m	11011010	218
r	01110111	119
w	10101010	170
r	10010001	145
w	11000111	199
m	11000000	192
r	00011010	26
r	00000001	1
m	10010101	149
r	00010011	19
r	01100010	98
w	01001101	77
m	10110001	177
w	10010100	148
r	00000100	4
w	01010000	80
r	00011100	28
w	10000000	128
m	01100101	101
r	11010001	209
m	00000101	5
m	11001110	206
m	01101010	106
m	00011101	29
r	01110000	112
m	11001011	203
w	00011000	24
w	10101011	171
r	11001101	205
m	11000000	192
w	00110111	55
m	10111101	189
r	10100010	162
w	10001111	143
m	11110000	240
w	11111100	252
w	00100010	34
r	01010000	80
w	01101011	107
m	00011001	25
r	11010100	212
w	11110110	246
r	01110010	114
m	01110001	113
w	00101101	45
r	11101110	238
w	00010001	17
m	10101000	168
w	00110110	54
r	10111100	188
r	00110100	52
r	01001011	75
m	00101000	40
r	10011111	159
r	01001000	72
r	01110000	112
m	00001011	11
w	00101101	45
r	11011011	219
m	01011000	88
r	01011011	91
w	11110110	246
r	00111100	60
r	00001010	10
m	10100011	163
m	00100011	35
m	00011100	28
m	11111001	249
m	00100000	32
w	00010111	23
